36157361		32808783		36520523		32158623		39079003		51267046		37242768		28350462		34070713		31687010		
35954061		32673035		36473410		32158682		38808683		51162186		36876995		28690298		33870287		31783307		
36893399		32910601		36080407		31672736		39094387		51843296		37314045		28207166		34106135		31712150		
36467340		30662001		36308343		30195122		38818357		24998052		37050149		28012859		33391270		27527259		
35981453		31235949		35288010		32183085		36450163		23956234		36603596		27987652		33756762		32079224		
36211298		32845946		35513870		31354598		38586446		24986412		36539556		28342501		34109266		31620598		
35880081		32693366		35845563		32696904		38786477		51353898		36827291		28734148		33657663		14933629		
35549753		32559703		35363890		31839374		38677924		51471636		36538428		28142943		32678724		30718409		
36197816		32622881		36042387		32127546		39034198		52097733		37079092		28962367		33749397		31959446		
36508921		30789144		36073762		31638807		39040846		51561500		37187046		28557690		33982341		31820227		
35880436		32581173		36216039		31531246		39103278		51700159		36611420		27864823		33780308		32010430		
33498307		30513744		34048992		29998470		36026179		47872047		35674665		27038183		32484296		31300350		
36446097		33218226		36807799		31528784		39371269		52096867		37268619		28823046		34062498		32385022		
36852209		33399048		35750484		31859156		39580445		51944418		37078748		13860604		33826548		30069529		
36386518		32879471		35881763		32442322		39467086		51742898		37190575		28227302		32935409		32271972		
36163583		32187768		36265049		32038691		38962142		51642087		36882267		27174298		33142261		31513108		
35899125		32507264		33983585		32225329		39021389		51838628		36986616		27683621		33187262		30293982		
36122919		32277451		36026465		31519253		38763778		50990040		36503215		28172413		33382797		31718112		
35465879		32606513		35176726		31789195		38496252		51207453		36168747		13036449		33009081		31963319		
35565825		32328982		35439644		29620034		38747175		51268769		36583281		28335823		33197412		31493054		
35403805		31807144		35555476		14494213		38433320		50880736		36451433		27413134		32795426		31066414		
36367726		32620203		35818681		31388500		38714671		50981724		37144866		28603974		33303982		31845437		
36166017		32666603		35817730		32496404		38841182		51592741		37097500		28492135		33208082		29891464		
36427643		31839199		36056518		32935036		38962327		50143667		37116595		27706402		33678214		31154148		
36188722		30863553		36300102		32441982		39428187		52012234		37014265		28531190		15754217		31738173		
37094509		33734441		36988545		33311436		40011101		49178429		35019168		27682263		31636542		15793833		
36107316		33072847		36057796		32008514		38898898		51216033		37043380		29152271		33932021		29944944		
36119757		33259445		36203683		31943703		39337778		51867968		36877266		28857822		33596987		32058373		
35514278		31088034		35517356		32036570		38862855		51272230		37019219		28049140		33651352		29671020		
35214291		32053842		34776439		14526583		38319376		50659246		36442409		27570337		31331740		31308541		
35442920		32173946		35456704		29256181		38358760		51078247		36242461		27976020		30478666		31664781		
36268233		30031968		35850087		32341289		39478825		51212962		37250748		28700945		33633285		31313708		
35806555		32799102		36087524		32304516		38917874		51633288		36711378		27864981		33233234		32348510		
35577508		32661769		35507893		32074343		38696659		50974733		36618849		27895574		32959635		31588747		
36642501		33371762		35935183		30188002		39426382		52255030		37619854		28357581		33598107		32049964		
35916690		32443629		36036882		31531731		39260207		51587540		36655658		13659735		33396008		31646766		
34316556		32942794		36285214		32223574		39509222		24287420		37061217		29102416		33294088		32172984		
35542790		32498532		35507045		31510219		39342437		51373927		36356133		27955123		32993669		31378846		
36465160		32655504		35945441		31410121		39364197		51526293		36919693		28088339		33257424		31771007		
35750300		32406513		35984383		29726939		39459882		24207360		36894827		28536231		32542440		31685564		
36070132		32892802		35508958		31294661		39286806		50787348		36341447		27930656		33585930		31587388		
36631218		33312021		35681810		32461701		39714607		52767886		37345803		28563164		34420802		32989265		
35764922		32232741		36576310		31509639		39530179		52162212		37374016		28943901		33825119		31864373		
37315838		30916796		36098107		32261470		39913975		51874534		36992965		28843063		33843674		32307649		
33868332		32904509		33089827		32303719		36372838		51779762		34073609		28742301		31493867		31508393		
