21359961159		3229643410		23902598517		2114		942		1600		934		
20960998353		3076763738		23243475009		800		660		628		644		
21290106527		3238432160		23688088772		836		844		670		810		
21059363298		3068443605		23352646385		924		770		756		674		
21389077557		3188847888		23794563109		990		878		908		804		
21022949079		3093786830		23345788031		816		794		728		718		
20999582375		3083450144		23329635633		924		768		752		728		
20954628837		3064159690		23329342791		744		774		628		1484		
21168182515		3174320999		23553376359		898		832		794		742		
21155943169		3181893456		23585355616		848		858		766		762		
21112870617		3084352366		23439333761		960		798		688		756		
20730505621		3110111547		23461850410		834		1492		914		740		
21081462463		3080992340		23379586069		716		840		778		790		
20925191985		3081941304		23351042201		848		816		760		726		
21081317311		3169306654		23582897437		834		852		864		798		
20931344719		3065790775		23365298989		796		898		790		710		
20635888729		3036245602		23402411217		746		832		794		798		
20745720983		3089224733		23416069709		846		760		706		814		
20695321513		3058488823		23407990669		712		866		812		678		
20659871771		3030850338		23356548861		774		896		716		878		
21450871708		3270655388		23903091303		690		804		756		786		
21037784347		3068763736		23358654165		750		930		688		828		
20965225357		3043630980		23389069833		838		814		886		896		
21361060663		3066628216		23728947716		736		758		732		924		
21095872105		3103161036		23432609425		882		964		768		806		
21591744487		3193139871		24104132351		750		844		714		724		
20625304809		3068696942		23342011545		968		908		876		848		
20717252021		3060980026		23444289509		812		930		664		766		
20688175483		3055967380		23352233677		698		796		706		772		
20695679939		3175936868		23522268683		854		874		726		772		
20703090313		3079714768		23445521627		888		842		890		764		
20622767307		3051775606		23359546139		1016		1066		986		972		
22085181235		3106627235		24425843871		866		1022		830		796		
21037058121		3063233147		23337866473		730		814		700		848		
21015140299		3060767641		23346655375		834		694		778		922		
21089462099		3064730718		23397011923		832		940		814		728		
21040540355		3092173732		23389409773		720		924		814		752		
21415886645		3121359392		23697958683		766		826		772		752		
21107682144		3064800612		23388946407		742		786		996		834		
21499189146		3332538906		23920328034		804		969		740		792		
21052046786		3069735650		23361849117		754		732		738		762		
21211372124		3104986442		23524254636		784		724		822		762		
21096608575		3107070840		23420190712		810		794		642		738		
21106104647		3082086577		23436040481		768		690		678		716		
21312339635		3213120127		23705789001		736		782		756		654		
21267774695		3223782706		23653901621		756		728		682		770		
21124224191		3063794164		23399545205		776		790		724		744		
21156695715		3067358853		23444677215		820		736		712		698		
21139201589		3076049756		23403856357		846		786		662		920		
21074691493		3177718428		23361355859		1596		910		1440		704		
21079382505		3447105069		23385029389		818		764		782		686		
17082972381		2714415080		22925933229		964		832		776		798		
21149157840		3112861134		23470887777		780		690		638		758		
21030050638		3099641313		23370802543		700		772		696		770		
21098360270		3091596671		23422776719		768		786		864		782		
21063085612		3073913125		23349963795		776		742		706		674		
21217077399		3319980538		23683120532		768		885		676		686		
21069072530		3183583764		23425412701		778		780		650		772		
21117627360		3332100789		23585118623		862		813		764		694		
21145654160		3098436360		23453476089		802		722		654		710		
